Modulation,SNR (dB),BER
QPSK,0,0.158823
QPSK,1,0.131008
QPSK,2,0.103956
QPSK,3,0.078775
QPSK,4,0.056541
QPSK,5,0.03766
QPSK,6,0.0230324
QPSK,7,0.0125408
QPSK,8,0.0059474
QPSK,9,0.0024104
QPSK,10,0.000775
QPSK,11,0.0001974
QPSK,12,3.38e-05
QPSK,13,3.2e-06
QPSK,14,6e-07
QPSK,15,0
QPSK,16,0
QPSK,17,0
QPSK,18,0
QPSK,19,0
QPSK,20,0
16-QAM,0,0.307997
16-QAM,1,0.292816
16-QAM,2,0.276015
16-QAM,3,0.256885
16-QAM,4,0.23502
16-QAM,5,0.210891
16-QAM,6,0.184854
16-QAM,7,0.158101
16-QAM,8,0.130496
16-QAM,9,0.103891
16-QAM,10,0.0786828
16-QAM,11,0.056278
16-QAM,12,0.0376394
16-QAM,13,0.0229408
16-QAM,14,0.0125236
16-QAM,15,0.0059738
16-QAM,16,0.0023834
16-QAM,17,0.0007668
16-QAM,18,0.0001852
16-QAM,19,2.84e-05
16-QAM,20,2.2e-06
64-QAM,0,0.363818
64-QAM,1,0.354358
64-QAM,2,0.344015
64-QAM,3,0.332742
64-QAM,4,0.320549
64-QAM,5,0.307161
64-QAM,6,0.292389
64-QAM,7,0.277121
64-QAM,8,0.260376
64-QAM,9,0.241369
64-QAM,10,0.221486
64-QAM,11,0.199259
64-QAM,12,0.175582
64-QAM,13,0.150436
64-QAM,14,0.125684
64-QAM,15,0.10092
64-QAM,16,0.0773015
64-QAM,17,0.0564673
64-QAM,18,0.0378953
64-QAM,19,0.0235797
64-QAM,20,0.0133031
